"Subjects" "Activities" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
1 "LAYING" 0.265696920582133 -0.0182981725176081 -0.10784573454611 0.744867411573487 -0.0825562579855908 0.072339870389049 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.453632943768818 -0.453632943768818 -0.545431612066571 -0.475404785802305 -0.639517432642651 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.180558714010749 0.0576291646962536 0.0583692776609798 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.0488005965884726 -0.21527915818415 -0.0964496376997118 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.0320324102759078 -0.0901517235974063 -0.0180063943472334 -0.478448523354179 0.142062162506138 -0.499075765624092 0.200055179527839 -0.535002770337752 0.0649309438160231 -0.645970655298847 0.198031580056455 -0.545795331328326 -0.367716218227378 -0.502645746562824 -0.959859435936599 -0.951150627458213 -0.925817590867435 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.497096402038329 -0.497096402038329 -0.515922167555159 -0.499839593745821 -0.652050770910663 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.543979776127867 -0.466251676533372 -0.737861932680115 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.589710231217867 -0.541823079570029 -0.566576670397695 -0.685811262634006
1 "SITTING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 0.660782866688742 -0.147219886910411 0.134865335090728 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.535281800541722 -0.535281800541722 -0.58777744543543 -0.614771054893146 -0.746559539039735 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.106763418901788 0.105734176023146 0.087210586428 -0.561682049622185 -0.50890379901457 -0.715745330403973 0.0868000536209801 -0.139776595362185 -0.0942651868218543 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.00576500648245033 -0.0702155008665563 0.0513627291214901 -0.514569861316887 0.192199738218212 -0.509746432970861 0.193066821118212 -0.699742945221854 0.0471324812379801 -0.751615078360927 0.124612068599768 -0.605586497159271 -0.428962986589404 -0.589360062210596 -0.963015508245033 -0.960033560165563 -0.945365383907285 -0.557809603123841 -0.491875889831788 -0.741885388311258 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.671679103311258 -0.783595466728477 -0.674611933293046 -0.552812545643709 -0.552812545643709 -0.512115278415232 -0.680584887880795 -0.740088733655629 -0.619788102803311 -0.464723862913245 -0.600678614835099 -0.595105612895033 -0.509147543673841 -0.767087015496689 -0.734588540182119 -0.72716774102649 -0.683114494539735 -0.646662308457285 -0.518800797709272 -0.725310337688742 -0.744194981440397
1 "STANDING" 0.273428719636364 -0.017856067384956 -0.106492632429097 0.707814353343108 -0.0260590480328739 0.0480937904190616 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.563140802770059 -0.563140802770059 -0.650182434328446 -0.643150121648094 -0.784056656246334 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.192817340495308 0.0389282523284457 0.00447261449052786 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.0476941200470968 -0.236874240885924 -0.193657539305073 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.102568067670674 -0.167675025582991 -0.0321862688221114 -0.579076453758064 0.0770665587562757 -0.604752108072727 0.11231984174566 -0.716822144279179 -0.0846075231245126 -0.810085498651026 0.0599628733252199 -0.623413602046921 -0.480015920697654 -0.653625579293255 -0.966457565630499 -0.9445645371261 -0.926966278211144 -0.635484688041056 -0.55721186773783 -0.796066240234604 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.689328428607038 -0.842659862111437 -0.743028500565982 -0.591224780306452 -0.591224780306452 -0.607658214170381 -0.674010290979472 -0.80366136372434 -0.623805015199413 -0.502753639795894 -0.657443765803519 -0.657844055881525 -0.559851186088408 -0.81080601659824 -0.719276622702346 -0.758505287214076 -0.751008875659824 -0.663079838985044 -0.615643694857361 -0.703839403007038 -0.810032718739003
1 "WALKING" 0.274183111498423 -0.0148081545344921 -0.107521430810726 0.706593043123028 0.112591195496986 0.164130896618297 0.0788637845151419 0.00351340949514196 -0.00737375142832808 -0.0289417906907571 -0.0787229907785489 0.0957174866009464 -0.107859315713249 -0.0400427574662461 -0.0578089304000631 -0.56158213510694 -0.56158213510694 -0.656116311856877 -0.656291093847319 -0.819191368044164 -0.628806379100946 -0.52583456615142 -0.755235428895899 -0.184518571319811 0.0847707537883281 -0.0164096855119621 -0.652023078038801 -0.601696223759495 -0.825154871135647 -0.000543991796466877 -0.180584111376656 -0.110565549338486 -0.641881977553943 -0.831527531009464 -0.689308946422713 -0.118518212447287 -0.375332544565931 0.0241889403249211 -0.602098037677603 0.0963636689322397 -0.63501900541041 0.160479882559811 -0.745650754608833 -0.129301517256877 -0.838833209652997 0.159075727514984 -0.605211727785489 -0.509929384011325 -0.709492735962145 -0.962636979274448 -0.941416800167192 -0.941403426072555 -0.631853083289621 -0.584063204701893 -0.843353231167192 -0.701397703369085 -0.79823574873817 -0.726374197066246 -0.723788617823344 -0.902502592618297 -0.748369141315457 -0.606556049548896 -0.606556049548896 -0.647249966810726 -0.706738493542587 -0.844187064164038 -0.597551324155678 -0.534661524341987 -0.708764043722397 -0.644622004704416 -0.593855151524606 -0.860544668359621 -0.721749187328076 -0.782885735867508 -0.7670895729653 -0.672948341687697 -0.666506718936908 -0.732586304826498 -0.863096864037855
1 "WALKING_DOWNSTAIRS" 0.279177960301325 -0.0154833455336192 -0.105661736816887 0.698153719072848 0.112313109736755 0.0921607197449904 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.460866415568709 -0.460866415568709 -0.589313870006622 -0.602770284825828 -0.707383517582782 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.226370689942053 0.0748636861897351 0.0062663175707947 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.10292084499106 -0.27429092242043 -0.163706246351656 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.0381646986649007 -0.0720666007195695 0.0744028987918874 -0.528503022745033 0.0781455594845364 -0.573176177044172 0.131619298935099 -0.677355755703311 0.062219113935298 -0.748829309536424 0.0307564556565894 -0.507691011391722 -0.402724906078146 -0.646443640175497 -0.964629108807947 -0.939973777950331 -0.94207867884106 -0.575890535679801 -0.506544358609603 -0.78456199486755 -0.709955676983444 -0.705638306688742 -0.606589817380795 -0.662581310334437 -0.774114270364238 -0.564680771249007 -0.52162345171192 -0.52162345171192 -0.589031268133113 -0.664078383532781 -0.734187493344371 -0.492829885748675 -0.422162171100331 -0.649351210748344 -0.584013626983444 -0.491500434303907 -0.798835563807947 -0.73573857718543 -0.702290390960265 -0.669353687483444 -0.594259529756954 -0.613485123609272 -0.715731148145695 -0.735610602483444
1 "WALKING_UPSTAIRS" 0.272376614181538 -0.0175697042641846 -0.11599454136 0.688702063569231 0.0162055455953846 0.0475199990906462 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.464770006998123 -0.464770006998123 -0.551413652396923 -0.549494852037046 -0.621936158532308 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.191537066813538 0.0590114878605846 0.113046089288708 -0.549394273848923 -0.503558973703692 -0.720867157741538 -0.0956140259974462 -0.305422668448923 -0.1006823905788 -0.537201442069846 -0.621188724858462 -0.507604207506462 0.0289087194733538 -0.0427900206246154 0.101044783556 -0.473974924380431 0.102346682227846 -0.494882316238462 0.0831165453227692 -0.579130051151385 0.104193397607938 -0.651886909221538 0.081817622852 -0.505086085072062 -0.368403670137262 -0.672512004586708 -0.958898709015385 -0.9509348864 -0.937910223507692 -0.531468310262154 -0.454437496885815 -0.738955207627692 -0.653800660041538 -0.626252072652308 -0.599910232855692 -0.546009968372308 -0.677635980501539 -0.526908306306892 -0.483790606354154 -0.483790606354154 -0.502935062310769 -0.579837818063692 -0.644474485460492 -0.506680276530492 -0.396677793847908 -0.694365207233846 -0.555346159400332 -0.437837459287385 -0.755751144098462 -0.692862440004 -0.633236229753846 -0.67302031484 -0.570910289993846 -0.516711262173969 -0.657368673849846 -0.660175875210246
2 "LAYING" 0.270211697814935 -0.0187904887668182 -0.112492375388312 0.681289120844156 -0.0420221452496753 0.0342160711928604 0.0831829573168831 0.00760909767418831 -0.00791725696048701 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.511312036747403 -0.511312036747403 -0.622815767680292 -0.581899897967532 -0.713191348337662 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.311790512382468 -0.0300713296399351 0.0146620852844481 -0.637521940243831 -0.641687333850227 -0.642515716574286 -0.11978430017462 -0.239501714015909 -0.220260861049058 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.134491772785779 -0.103884514547565 -0.0863412384825 -0.518323878824675 -0.0106873745212792 -0.553360009658182 0.108695730522532 -0.628877272791136 -0.0352276334005552 -0.668879188156396 0.0631920436939935 -0.577518324748052 -0.546403365345779 -0.456473642256981 -0.956538178587662 -0.955312554090909 -0.923304724090909 -0.615131377408279 -0.622997416262013 -0.664336860544416 -0.687155474097403 -0.652408657909091 -0.663340760331169 -0.701731200484416 -0.674920114957468 -0.750808705594156 -0.510669879158539 -0.510669879158539 -0.550560230585714 -0.598670795839286 -0.658017844948377 -0.572347541484091 -0.567046977262987 -0.460792123277305 -0.626785744584416 -0.62853163071948 -0.684856438953896 -0.703883646896104 -0.671161922837662 -0.698949518905844 -0.583819796092208 -0.550683254908442 -0.650923648207792 -0.668963362464935
2 "SITTING" 0.270759063295374 -0.0181894974688612 -0.106809623683986 0.647498175409253 0.0303211113118861 0.0836542406807936 0.084215745375516 0.000860301581786477 -0.0196719912994306 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.468522592843416 -0.468522592843416 -0.534248616612028 -0.476214943826192 -0.673625525658363 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.216022261686477 0.0263297524124555 0.0913951982033452 -0.59163500910605 -0.495906215569395 -0.644285802406762 0.0212336768810676 -0.169061574411388 -0.0826086104950178 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.117102793715658 -0.153879695796192 -0.0430258806635231 -0.512106792856939 0.146541439681957 -0.529244911130605 0.271528870278648 -0.609984289180071 -0.0232241525951918 -0.70215621546726 0.223748693337011 -0.582958863017438 -0.349383732046263 -0.499472687913167 -0.954256666035587 -0.94844645047331 -0.923180663601423 -0.575993073911744 -0.458724925167972 -0.66835678475516 -0.656219242281851 -0.570941237019217 -0.511392038012811 -0.674984452240214 -0.683086930288968 -0.695970301754448 -0.554038979266192 -0.554038979266192 -0.564471999961566 -0.581422885341281 -0.715838385516014 -0.585343460535587 -0.378656458967972 -0.513206312959075 -0.598546245236655 -0.45636839585694 -0.691480916950178 -0.675275353078292 -0.573087292172598 -0.553968587869751 -0.651638076286121 -0.618027414911032 -0.636673891144128 -0.755717299964413
2 "STANDING" 0.270313841621528 -0.0209466555412396 -0.101233826213889 0.670845545555556 -0.0467446999509028 0.104353653032743 0.0840171430291667 0.00678485848399306 -0.00102998088194444 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.0892254930640278 -0.0397344421815972 -0.053402884281875 -0.505183470509188 -0.505183470509188 -0.621608245092361 -0.550201866572569 -0.7629795809375 -0.579258404408681 -0.610267804090278 -0.592119122804271 -0.291349229752569 -0.0879003298041667 -0.0304334227664236 -0.621377141312847 -0.699766614569444 -0.702931927996528 -0.219176266215278 -0.296107744084757 -0.290292303180208 -0.639863219559028 -0.683924287600694 -0.612680463163889 -0.205909254584222 -0.240880440259861 -0.196153280691528 -0.553186448295139 -0.00358269125034722 -0.609193721940625 0.0983598303289236 -0.700863097986111 -0.108828634535764 -0.786473954201389 0.0927763736788194 -0.555656544538194 -0.5758878952125 -0.506111776081806 -0.958784666180556 -0.949938115208333 -0.920554317815972 -0.578305161360069 -0.678923872274306 -0.721610094569444 -0.676452392569444 -0.670498220701389 -0.587557692291458 -0.7617108665625 -0.773273878854167 -0.744656038298611 -0.553038255314792 -0.553038255314792 -0.608862145384722 -0.663198385034722 -0.786176892048611 -0.547995744907986 -0.586766083232639 -0.501074006965903 -0.572819893733993 -0.679065855003472 -0.739139922708333 -0.690689895534722 -0.667203220760417 -0.619468634127778 -0.624456827182986 -0.611619343190972 -0.697729432621528 -0.801296292638889
2 "WALKING" 0.27684847392517 -0.017835790552415 -0.111301532185714 0.642905730306122 -0.0740248544557823 0.0552047227876769 0.0798108613061224 0.0129143257457823 -0.0113556967940476 -0.0185023695936054 -0.0846403674590918 0.0910265011879252 -0.108150829882313 -0.0424219983671769 -0.0555521277515646 -0.502500207000204 -0.502500207000204 -0.57776193128833 -0.521819802352381 -0.734465805340136 -0.532289464513605 -0.494651474235034 -0.655062273211565 -0.156150832113776 0.0948129948809524 0.150687015615519 -0.547243039827891 -0.555104553563503 -0.721689700769728 -0.0313012983494898 -0.148940675963605 0.0112385060119048 -0.620379208870442 -0.64835059542517 -0.567456661721769 -0.0663150945743537 -0.0881515905938775 -0.0500743540119048 -0.518734046961905 0.173253569411224 -0.515140810846939 0.163072697936429 -0.661496552826531 0.0120855942278469 -0.767780095068027 0.153580253720748 -0.537807711163265 -0.497405885644898 -0.614776952226361 -0.965808126428571 -0.95452407255102 -0.938706428064626 -0.52938321427551 -0.540236619204728 -0.750729260772109 -0.67390558227449 -0.591333155194558 -0.598142328621088 -0.703243499727891 -0.768641779047619 -0.686800252738095 -0.545348810631551 -0.545348810631551 -0.529340480130272 -0.624408369413333 -0.768821828979592 -0.541170169070068 -0.532135172812313 -0.625871772082993 -0.553403478735408 -0.556271725483333 -0.77916817122449 -0.692654261914966 -0.565943677806122 -0.645947720476871 -0.633196110969728 -0.553027359614864 -0.666014612598639 -0.787144257176871
